date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue
2019-08-01,1839,99,905,12229,2019-08,6477.52
2019-08-02,1455,66,842,7801,2019-08,4666.74
2019-08-03,0,0,0,0,2019-08,0.0
2019-08-04,541,33,409,3232,2019-08,1310.75
2019-08-05,1490,57,830,7908,2019-08,8444.059999999998
2019-08-06,1119,60,665,6769,2019-08,4280.67
2019-08-07,1376,62,833,7142,2019-08,6398.080000000001
2019-08-08,1984,85,1059,13323,2019-08,14197.550000000001
2019-08-09,1122,61,717,6696,2019-08,-6946.44
2019-08-10,0,0,0,0,2019-08,0.0
2019-08-11,557,37,390,2169,2019-08,2148.46
2019-08-12,926,54,619,6393,2019-08,2759.84
2019-08-13,1035,63,674,7328,2019-08,3041.8500000000004
2019-08-14,1666,64,946,10088,2019-08,8401.740000000002
2019-08-15,1539,100,879,11527,2019-08,4655.23
2019-08-16,819,61,562,6662,2019-08,2273.59
2019-08-17,0,0,0,0,2019-08,0.0
2019-08-18,1070,42,658,5007,2019-08,3326.3
2019-08-19,1272,68,732,9423,2019-08,3599.88
2019-08-20,1458,73,823,9432,2019-08,4402.64
2019-08-21,1876,102,965,11438,2019-08,18434.44
2019-08-22,1342,93,798,9236,2019-08,5540.049999999999
2019-08-23,929,55,628,7734,2019-08,2623.57
2019-08-24,0,0,0,0,2019-08,0.0
2019-08-25,1200,39,736,4998,2019-08,2839.4300000000003
2019-08-26,0,0,0,0,2019-08,0.0
2019-08-27,3235,50,1310,8566,2019-08,15682.57
2019-08-28,1305,117,847,6700,2019-08,6112.93
2019-08-29,1405,81,777,10798,2019-08,3538.2300000000005
2019-08-30,2376,107,1140,9914,2019-08,10831.84
2019-08-31,0,0,0,0,2019-08,0.0
2019-09-01,1343,53,825,7469,2019-09,3688.45
2019-09-02,1587,78,897,10214,2019-09,4608.14
2019-09-03,1140,70,710,8241,2019-09,3456.82
2019-09-04,2112,60,1094,10278,2019-09,10083.69
2019-09-05,1779,90,945,10079,2019-09,5506.24
2019-09-06,1607,88,926,10013,2019-09,5801.75
2019-09-07,0,0,0,0,2019-09,0.0
2019-09-08,2032,78,1019,11939,2019-09,5891.450000000001
2019-09-09,1702,96,916,11077,2019-09,5365.92
2019-09-10,2438,82,1098,14209,2019-09,8955.439999999999
2019-09-11,1376,93,870,7902,2019-09,4233.4400000000005
2019-09-12,2197,115,1022,13514,2019-09,25498.23
2019-09-13,1475,84,825,10142,2019-09,7239.679999999999
2019-09-14,0,0,0,0,2019-09,0.0
2019-09-15,1274,28,830,5728,2019-09,3659.5200000000004
2019-09-16,1436,100,786,11083,2019-09,9538.99
2019-09-17,1718,77,900,10429,2019-09,7132.650000000001
2019-09-18,3129,107,1345,13512,2019-09,14382.71
2019-09-19,2748,148,1219,18957,2019-09,8238.57
2019-09-20,2642,98,1297,14303,2019-09,9697.01
2019-09-21,0,0,0,0,2019-09,0.0
2019-09-22,1987,78,982,12422,2019-09,5630.071
2019-09-23,1554,79,914,9791,2019-09,6052.6810000000005
2019-09-24,1897,115,1029,11719,2019-09,6823.740000000002
2019-09-25,2877,112,1316,15003,2019-09,9160.7
2019-09-26,2508,116,1145,17525,2019-09,7188.15
2019-09-27,1887,94,981,11748,2019-09,7031.1
2019-09-28,0,0,0,0,2019-09,0.0
2019-09-29,1429,36,863,5354,2019-09,3742.43
2019-09-30,2296,91,1096,12554,2019-09,12685.849999999999
2019-10-01,2797,104,1197,13893,2019-10,10178.91
2019-10-02,2447,104,1121,16277,2019-10,7605.900000000001
2019-10-03,3189,218,1317,18481,2019-10,9950.34
2019-10-04,2426,108,1091,14005,2019-10,13428.759999999998
2019-10-05,0,0,0,0,2019-10,0.0
2019-10-06,1292,41,811,5026,2019-10,3418.62
2019-10-07,3232,139,1334,15661,2019-10,14532.65
2019-10-08,2467,105,1241,15830,2019-10,8147.76
2019-10-09,2193,110,1138,12411,2019-10,7587.469999999999
2019-10-10,2358,106,1189,12572,2019-10,8818.509999999998
2019-10-11,1810,88,998,11335,2019-10,7246.1900000000005
2019-10-12,0,0,0,0,2019-10,0.0
2019-10-13,1254,39,800,6051,2019-10,4307.24
2019-10-14,2944,108,1352,15652,2019-10,12819.66
2019-10-15,2908,109,1247,16357,2019-10,9220.439999999999
2019-10-16,2318,107,1198,12622,2019-10,20575.57
2019-10-17,2350,106,1155,15132,2019-10,7120.889999999999
2019-10-18,1404,69,810,10026,2019-10,4151.83
2019-10-19,0,0,0,0,2019-10,0.0
2019-10-20,1728,45,970,6012,2019-10,4753.1900000000005
2019-10-21,2976,141,1360,13039,2019-10,17005.35
2019-10-22,2492,112,1152,15269,2019-10,7354.830000000001
2019-10-23,1930,107,1055,10177,2019-10,7333.51
2019-10-24,2540,137,1154,15361,2019-10,20672.569999999996
2019-10-25,1641,101,869,9780,2019-10,5845.61
2019-10-26,0,0,0,0,2019-10,0.0
2019-10-27,2907,97,1214,14551,2019-10,7547.4400000000005
2019-10-28,3414,109,1620,14964,2019-10,27382.569999999996
2019-10-29,1786,105,911,9967,2019-10,5220.54
2019-10-30,2632,116,1261,13377,2019-10,9318.44
2019-10-31,2419,124,1221,13732,2019-10,7837.719999999999
2019-11-01,3011,143,1290,17448,2019-11,8744.89
2019-11-02,0,0,0,0,2019-11,0.0
2019-11-03,3437,104,1315,16759,2019-11,9458.880000000001
2019-11-04,2099,115,1064,11859,2019-11,22665.750000000004
2019-11-05,4070,144,1487,18411,2019-11,16788.070000000003
2019-11-06,2716,127,1250,16546,2019-11,8781.16
2019-11-07,3275,184,1329,19998,2019-11,13371.5
2019-11-08,4089,118,1536,19360,2019-11,14116.550000000001
2019-11-09,0,0,0,0,2019-11,0.0
2019-11-10,3018,93,1263,14598,2019-11,9141.78
2019-11-11,3597,152,1432,18402,2019-11,15262.54
2019-11-12,3445,142,1475,16271,2019-11,13241.65
2019-11-13,4195,161,1537,20198,2019-11,16784.08
2019-11-14,3621,170,1441,20272,2019-11,11881.45
2019-11-15,2920,164,1274,15161,2019-11,12070.650000000001
2019-11-16,0,0,0,0,2019-11,0.0
2019-11-17,3334,105,1288,14178,2019-11,10454.85
2019-11-18,2930,122,1270,15367,2019-11,9420.89
2019-11-19,3967,174,1527,18961,2019-11,13066.73
2019-11-20,3619,154,1420,19799,2019-11,16560.47
2019-11-21,3766,146,1528,17358,2019-11,13548.73
2019-11-22,3125,98,1390,12531,2019-11,14484.61
2019-11-23,0,0,0,0,2019-11,0.0
2019-11-24,2543,60,1125,9015,2019-11,6497.72
