date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue
2019-08-01,21,1,21,131,2019-08,96.25
2019-08-02,0,0,0,0,2019-08,0.0
2019-08-03,0,0,0,0,2019-08,0.0
2019-08-04,0,0,0,0,2019-08,0.0
2019-08-05,0,0,0,0,2019-08,0.0
2019-08-06,0,0,0,0,2019-08,0.0
2019-08-07,0,0,0,0,2019-08,0.0
2019-08-08,30,1,30,299,2019-08,60.76
2019-08-09,12,1,12,127,2019-08,27.22
2019-08-10,0,0,0,0,2019-08,0.0
2019-08-11,0,0,0,0,2019-08,0.0
2019-08-12,0,0,0,0,2019-08,0.0
2019-08-13,0,0,0,0,2019-08,0.0
2019-08-14,0,0,0,0,2019-08,0.0
2019-08-15,0,0,0,0,2019-08,0.0
2019-08-16,44,3,43,365,2019-08,155.37000000000003
2019-08-17,0,0,0,0,2019-08,0.0
2019-08-18,0,0,0,0,2019-08,0.0
2019-08-19,0,0,0,0,2019-08,0.0
2019-08-20,0,0,0,0,2019-08,0.0
2019-08-21,0,0,0,0,2019-08,0.0
2019-08-22,39,2,38,210,2019-08,195.37999999999997
2019-08-23,0,0,0,0,2019-08,0.0
2019-08-24,0,0,0,0,2019-08,0.0
2019-08-25,0,0,0,0,2019-08,0.0
2019-08-26,0,0,0,0,2019-08,0.0
2019-08-27,0,0,0,0,2019-08,0.0
2019-08-28,12,1,12,118,2019-08,27.51
2019-08-29,0,0,0,0,2019-08,0.0
2019-08-30,18,2,18,203,2019-08,53.510000000000005
2019-08-31,0,0,0,0,2019-08,0.0
2019-09-01,0,0,0,0,2019-09,0.0
2019-09-02,0,0,0,0,2019-09,0.0
2019-09-03,0,0,0,0,2019-09,0.0
2019-09-04,0,0,0,0,2019-09,0.0
2019-09-05,0,0,0,0,2019-09,0.0
2019-09-06,45,1,45,372,2019-09,167.88
2019-09-07,0,0,0,0,2019-09,0.0
2019-09-08,0,0,0,0,2019-09,0.0
2019-09-09,0,0,0,0,2019-09,0.0
2019-09-10,0,0,0,0,2019-09,0.0
2019-09-11,0,0,0,0,2019-09,0.0
2019-09-12,0,0,0,0,2019-09,0.0
2019-09-13,0,0,0,0,2019-09,0.0
2019-09-14,0,0,0,0,2019-09,0.0
2019-09-15,0,0,0,0,2019-09,0.0
2019-09-16,20,1,20,196,2019-09,50.76
2019-09-17,0,0,0,0,2019-09,0.0
2019-09-18,32,1,32,261,2019-09,127.9
2019-09-19,30,2,29,246,2019-09,102.31
2019-09-20,0,0,0,0,2019-09,0.0
2019-09-21,0,0,0,0,2019-09,0.0
2019-09-22,0,0,0,0,2019-09,0.0
2019-09-23,0,0,0,0,2019-09,0.0
2019-09-24,0,0,0,0,2019-09,0.0
2019-09-25,40,1,40,243,2019-09,181.45
2019-09-26,0,0,0,0,2019-09,0.0
2019-09-27,0,0,0,0,2019-09,0.0
2019-09-28,0,0,0,0,2019-09,0.0
2019-09-29,0,0,0,0,2019-09,0.0
2019-09-30,0,0,0,0,2019-09,0.0
2019-10-01,17,1,17,118,2019-10,69.01
2019-10-02,0,0,0,0,2019-10,0.0
2019-10-03,0,0,0,0,2019-10,0.0
2019-10-04,0,0,0,0,2019-10,0.0
2019-10-05,0,0,0,0,2019-10,0.0
2019-10-06,0,0,0,0,2019-10,0.0
2019-10-07,17,1,17,147,2019-10,47.720000000000006
2019-10-08,15,1,15,159,2019-10,43.699999999999996
2019-10-09,0,0,0,0,2019-10,0.0
2019-10-10,51,1,51,557,2019-10,114.07000000000001
