date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue
2019-08-01,34,1,34,281,2019-08,92.84000000000002
2019-08-02,35,2,34,327,2019-08,101.24
2019-08-03,0,0,0,0,2019-08,0.0
2019-08-04,0,0,0,0,2019-08,0.0
2019-08-05,0,0,0,0,2019-08,0.0
2019-08-06,0,0,0,0,2019-08,0.0
2019-08-07,14,1,14,136,2019-08,21.099999999999998
2019-08-08,0,0,0,0,2019-08,0.0
2019-08-09,27,2,27,159,2019-08,98.69
2019-08-10,0,0,0,0,2019-08,0.0
2019-08-11,2,1,2,3,2019-08,29.7
2019-08-12,37,1,37,308,2019-08,157.07999999999998
2019-08-13,0,0,0,0,2019-08,0.0
2019-08-14,29,1,29,303,2019-08,53.78
2019-08-15,46,2,43,385,2019-08,149.56999999999996
2019-08-16,35,1,35,376,2019-08,76.32
2019-08-17,0,0,0,0,2019-08,0.0
2019-08-18,30,2,28,245,2019-08,115.96000000000002
2019-08-19,0,0,0,0,2019-08,0.0
2019-08-20,44,2,42,377,2019-08,129.04000000000002
2019-08-21,23,2,23,172,2019-08,90.36000000000001
2019-08-22,122,4,111,1195,2019-08,311.05999999999995
2019-08-23,48,1,48,483,2019-08,109.87
2019-08-24,0,0,0,0,2019-08,0.0
2019-08-25,0,0,0,0,2019-08,0.0
2019-08-26,0,0,0,0,2019-08,0.0
2019-08-27,0,0,0,0,2019-08,0.0
2019-08-28,32,4,28,316,2019-08,245.55999999999997
2019-08-29,0,0,0,0,2019-08,0.0
2019-08-30,37,3,36,359,2019-08,126.3
2019-08-31,0,0,0,0,2019-08,0.0
2019-09-01,50,1,50,400,2019-09,151.17
2019-09-02,37,3,36,271,2019-09,158.98000000000002
2019-09-03,0,0,0,0,2019-09,0.0
2019-09-04,135,3,114,1299,2019-09,321.72
2019-09-05,87,2,84,742,2019-09,218.26999999999998
2019-09-06,105,3,95,952,2019-09,292.87
2019-09-07,0,0,0,0,2019-09,0.0
2019-09-08,7,1,7,43,2019-09,34.99
2019-09-09,0,0,0,0,2019-09,0.0
2019-09-10,2,1,2,1,2019-09,19.06
2019-09-11,21,1,21,222,2019-09,35.040000000000006
2019-09-12,50,4,49,506,2019-09,208.70999999999998
2019-09-13,1,1,1,0,2019-09,4.25
2019-09-14,0,0,0,0,2019-09,0.0
2019-09-15,0,0,0,0,2019-09,0.0
2019-09-16,108,4,96,757,2019-09,434.06999999999994
2019-09-17,24,1,24,198,2019-09,58.78
2019-09-18,60,4,55,495,2019-09,168.82000000000002
2019-09-19,78,5,71,604,2019-09,307.04999999999995
2019-09-20,38,1,38,321,2019-09,99.87999999999998
2019-09-21,0,0,0,0,2019-09,0.0
2019-09-22,35,2,35,221,2019-09,164.65
2019-09-23,2,1,2,1,2019-09,5.0
2019-09-24,13,3,13,70,2019-09,64.1
2019-09-25,29,1,29,219,2019-09,100.98000000000002
2019-09-26,79,4,72,709,2019-09,232.43
2019-09-27,57,3,52,632,2019-09,186.6
2019-09-28,0,0,0,0,2019-09,0.0
2019-09-29,0,0,0,0,2019-09,0.0
2019-09-30,77,1,66,158,2019-09,192.27000000000004
2019-10-01,15,2,15,115,2019-10,70.24000000000001
2019-10-02,143,4,135,1032,2019-10,447.72
2019-10-03,10,2,10,30,2019-10,62.300000000000004
2019-10-04,38,2,36,363,2019-10,88.44
2019-10-05,0,0,0,0,2019-10,0.0
2019-10-06,0,0,0,0,2019-10,0.0
2019-10-07,25,3,24,203,2019-10,86.44
2019-10-08,262,2,262,2220,2019-10,756.16
2019-10-09,52,5,45,453,2019-10,184.21
2019-10-10,12,1,12,99,2019-10,48.68
2019-10-11,29,2,29,223,2019-10,108.78
2019-10-12,0,0,0,0,2019-10,0.0
2019-10-13,0,0,0,0,2019-10,0.0
2019-10-14,1,1,1,2,2019-10,1.06
2019-10-15,2,2,1,5,2019-10,2.12
2019-10-16,35,2,34,291,2019-10,150.91
2019-10-17,39,1,39,420,2019-10,107.74
2019-10-18,0,0,0,0,2019-10,0.0
2019-10-19,0,0,0,0,2019-10,0.0
