date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue
2019-08-01,0,0,0,0,2019-08,0.0
2019-08-02,0,0,0,0,2019-08,0.0
2019-08-03,0,0,0,0,2019-08,0.0
2019-08-04,0,0,0,0,2019-08,0.0
2019-08-05,0,0,0,0,2019-08,0.0
2019-08-06,0,0,0,0,2019-08,0.0
2019-08-07,0,0,0,0,2019-08,0.0
2019-08-08,0,0,0,0,2019-08,0.0
2019-08-09,0,0,0,0,2019-08,0.0
2019-08-10,0,0,0,0,2019-08,0.0
2019-08-11,0,0,0,0,2019-08,0.0
2019-08-12,0,0,0,0,2019-08,0.0
2019-08-13,0,0,0,0,2019-08,0.0
2019-08-14,0,0,0,0,2019-08,0.0
2019-08-15,0,0,0,0,2019-08,0.0
2019-08-16,0,0,0,0,2019-08,0.0
2019-08-17,0,0,0,0,2019-08,0.0
2019-08-18,0,0,0,0,2019-08,0.0
2019-08-19,0,0,0,0,2019-08,0.0
2019-08-20,49,2,49,485,2019-08,414.75
2019-08-21,0,0,0,0,2019-08,0.0
2019-08-22,0,0,0,0,2019-08,0.0
2019-08-23,0,0,0,0,2019-08,0.0
2019-08-24,0,0,0,0,2019-08,0.0
2019-08-25,0,0,0,0,2019-08,0.0
2019-08-26,0,0,0,0,2019-08,0.0
2019-08-27,0,0,0,0,2019-08,0.0
2019-08-28,0,0,0,0,2019-08,0.0
2019-08-29,0,0,0,0,2019-08,0.0
2019-08-30,0,0,0,0,2019-08,0.0
2019-08-31,0,0,0,0,2019-08,0.0
2019-09-01,0,0,0,0,2019-09,0.0
2019-09-02,0,0,0,0,2019-09,0.0
2019-09-03,0,0,0,0,2019-09,0.0
2019-09-04,0,0,0,0,2019-09,0.0
2019-09-05,0,0,0,0,2019-09,0.0
2019-09-06,0,0,0,0,2019-09,0.0
2019-09-07,0,0,0,0,2019-09,0.0
2019-09-08,0,0,0,0,2019-09,0.0
2019-09-09,0,0,0,0,2019-09,0.0
2019-09-10,0,0,0,0,2019-09,0.0
2019-09-11,0,0,0,0,2019-09,0.0
2019-09-12,0,0,0,0,2019-09,0.0
2019-09-13,0,0,0,0,2019-09,0.0
2019-09-14,0,0,0,0,2019-09,0.0
2019-09-15,0,0,0,0,2019-09,0.0
2019-09-16,2,2,1,4,2019-09,5307.9
2019-09-17,0,0,0,0,2019-09,0.0
2019-09-18,0,0,0,0,2019-09,0.0
2019-09-19,0,0,0,0,2019-09,0.0
2019-09-20,0,0,0,0,2019-09,0.0
2019-09-21,0,0,0,0,2019-09,0.0
2019-09-22,0,0,0,0,2019-09,0.0
2019-09-23,0,0,0,0,2019-09,0.0
2019-09-24,0,0,0,0,2019-09,0.0
2019-09-25,0,0,0,0,2019-09,0.0
2019-09-26,0,0,0,0,2019-09,0.0
2019-09-27,0,0,0,0,2019-09,0.0
2019-09-28,0,0,0,0,2019-09,0.0
2019-09-29,0,0,0,0,2019-09,0.0
2019-09-30,0,0,0,0,2019-09,0.0
2019-10-01,1,1,1,1,2019-10,10.95
2019-10-02,0,0,0,0,2019-10,0.0
2019-10-03,0,0,0,0,2019-10,0.0
2019-10-04,0,0,0,0,2019-10,0.0
2019-10-05,0,0,0,0,2019-10,0.0
2019-10-06,0,0,0,0,2019-10,0.0
2019-10-07,0,0,0,0,2019-10,0.0
2019-10-08,0,0,0,0,2019-10,0.0
2019-10-09,0,0,0,0,2019-10,0.0
2019-10-10,0,0,0,0,2019-10,0.0
2019-10-11,0,0,0,0,2019-10,0.0
2019-10-12,0,0,0,0,2019-10,0.0
2019-10-13,0,0,0,0,2019-10,0.0
2019-10-14,0,0,0,0,2019-10,0.0
2019-10-15,27,1,27,197,2019-10,99.76
2019-10-16,0,0,0,0,2019-10,0.0
2019-10-17,0,0,0,0,2019-10,0.0
2019-10-18,0,0,0,0,2019-10,0.0
2019-10-19,0,0,0,0,2019-10,0.0
2019-10-20,0,0,0,0,2019-10,0.0
2019-10-21,0,0,0,0,2019-10,0.0
2019-10-22,0,0,0,0,2019-10,0.0
2019-10-23,0,0,0,0,2019-10,0.0
2019-10-24,0,0,0,0,2019-10,0.0
2019-10-25,7,1,7,77,2019-10,18.75
2019-10-26,0,0,0,0,2019-10,0.0
2019-10-27,0,0,0,0,2019-10,0.0
2019-10-28,0,0,0,0,2019-10,0.0
2019-10-29,0,0,0,0,2019-10,0.0
2019-10-30,0,0,0,0,2019-10,0.0
2019-10-31,0,0,0,0,2019-10,0.0
