date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue
2019-08-01,0,0,0,0,2019-08,0.0
2019-08-02,0,0,0,0,2019-08,0.0
2019-08-03,0,0,0,0,2019-08,0.0
2019-08-04,0,0,0,0,2019-08,0.0
2019-08-05,0,0,0,0,2019-08,0.0
2019-08-06,106,2,106,1111,2019-08,206.41
2019-08-07,0,0,0,0,2019-08,0.0
2019-08-08,119,1,119,1577,2019-08,269.39000000000004
2019-08-09,7,1,7,102,2019-08,5.589999999999999
2019-08-10,0,0,0,0,2019-08,0.0
2019-08-11,0,0,0,0,2019-08,0.0
2019-08-12,0,0,0,0,2019-08,0.0
2019-08-13,0,0,0,0,2019-08,0.0
2019-08-14,0,0,0,0,2019-08,0.0
2019-08-15,1,1,1,0,2019-08,206.4
2019-08-16,0,0,0,0,2019-08,0.0
2019-08-17,0,0,0,0,2019-08,0.0
2019-08-18,0,0,0,0,2019-08,0.0
2019-08-19,0,0,0,0,2019-08,0.0
2019-08-20,2,1,2,14,2019-08,2.95
2019-08-21,0,0,0,0,2019-08,0.0
2019-08-22,0,0,0,0,2019-08,0.0
2019-08-23,46,3,44,578,2019-08,121.97999999999999
2019-08-24,0,0,0,0,2019-08,0.0
2019-08-25,0,0,0,0,2019-08,0.0
2019-08-26,0,0,0,0,2019-08,0.0
2019-08-27,0,0,0,0,2019-08,0.0
2019-08-28,3,1,3,3,2019-08,2.72
2019-08-29,0,0,0,0,2019-08,0.0
2019-08-30,0,0,0,0,2019-08,0.0
2019-08-31,0,0,0,0,2019-08,0.0
2019-09-01,0,0,0,0,2019-09,0.0
2019-09-02,0,0,0,0,2019-09,0.0
2019-09-03,0,0,0,0,2019-09,0.0
2019-09-04,0,0,0,0,2019-09,0.0
2019-09-05,52,2,52,523,2019-09,129.23000000000002
2019-09-06,8,1,8,111,2019-09,26.04
2019-09-07,0,0,0,0,2019-09,0.0
2019-09-08,0,0,0,0,2019-09,0.0
2019-09-09,0,0,0,0,2019-09,0.0
2019-09-10,57,1,57,758,2019-09,347.02
2019-09-11,0,0,0,0,2019-09,0.0
2019-09-12,0,0,0,0,2019-09,0.0
2019-09-13,0,0,0,0,2019-09,0.0
2019-09-14,0,0,0,0,2019-09,0.0
2019-09-15,0,0,0,0,2019-09,0.0
2019-09-16,104,2,103,1313,2019-09,365.15
2019-09-17,0,0,0,0,2019-09,0.0
2019-09-18,0,0,0,0,2019-09,0.0
2019-09-19,21,1,21,191,2019-09,49.730000000000004
2019-09-20,0,0,0,0,2019-09,0.0
2019-09-21,0,0,0,0,2019-09,0.0
2019-09-22,0,0,0,0,2019-09,0.0
2019-09-23,0,0,0,0,2019-09,0.0
2019-09-24,0,0,0,0,2019-09,0.0
2019-09-25,0,0,0,0,2019-09,0.0
2019-09-26,0,0,0,0,2019-09,0.0
2019-09-27,0,0,0,0,2019-09,0.0
2019-09-28,0,0,0,0,2019-09,0.0
2019-09-29,0,0,0,0,2019-09,0.0
2019-09-30,0,0,0,0,2019-09,0.0
2019-10-01,0,0,0,0,2019-10,0.0
2019-10-02,4,1,4,4,2019-10,91.85000000000001
2019-10-03,23,3,22,115,2019-10,67.18
2019-10-04,11,1,11,145,2019-10,25.35
2019-10-05,0,0,0,0,2019-10,0.0
2019-10-06,0,0,0,0,2019-10,0.0
2019-10-07,0,0,0,0,2019-10,0.0
2019-10-08,0,0,0,0,2019-10,0.0
2019-10-09,0,0,0,0,2019-10,0.0
2019-10-10,0,0,0,0,2019-10,0.0
2019-10-11,0,0,0,0,2019-10,0.0
2019-10-12,0,0,0,0,2019-10,0.0
2019-10-13,0,0,0,0,2019-10,0.0
2019-10-14,0,0,0,0,2019-10,0.0
2019-10-15,29,1,29,235,2019-10,103.69
2019-10-16,0,0,0,0,2019-10,0.0
2019-10-17,146,3,145,1733,2019-10,363.46999999999997
2019-10-18,37,3,37,323,2019-10,83.86
2019-10-19,0,0,0,0,2019-10,0.0
2019-10-20,0,0,0,0,2019-10,0.0
2019-10-21,0,0,0,0,2019-10,0.0
2019-10-22,0,0,0,0,2019-10,0.0
2019-10-23,0,0,0,0,2019-10,0.0
2019-10-24,28,3,28,369,2019-10,49.230000000000004
2019-10-25,0,0,0,0,2019-10,0.0
2019-10-26,0,0,0,0,2019-10,0.0
2019-10-27,0,0,0,0,2019-10,0.0
2019-10-28,0,0,0,0,2019-10,0.0
2019-10-29,0,0,0,0,2019-10,0.0
2019-10-30,70,3,70,418,2019-10,137.42999999999998
2019-10-31,0,0,0,0,2019-10,0.0
2019-11-01,0,0,0,0,2019-11,0.0
2019-11-02,0,0,0,0,2019-11,0.0
2019-11-03,0,0,0,0,2019-11,0.0
2019-11-04,0,0,0,0,2019-11,0.0
2019-11-05,0,0,0,0,2019-11,0.0
2019-11-06,0,0,0,0,2019-11,0.0
2019-11-07,65,3,64,839,2019-11,169.98
2019-11-08,0,0,0,0,2019-11,0.0
2019-11-09,0,0,0,0,2019-11,0.0
2019-11-10,0,0,0,0,2019-11,0.0
2019-11-11,0,0,0,0,2019-11,0.0
2019-11-12,0,0,0,0,2019-11,0.0
2019-11-13,3,1,3,35,2019-11,18.2
2019-11-14,0,0,0,0,2019-11,0.0
2019-11-15,2,1,2,25,2019-11,19.25
2019-11-16,0,0,0,0,2019-11,0.0
2019-11-17,9,2,8,86,2019-11,40.97
2019-11-18,0,0,0,0,2019-11,0.0
2019-11-19,19,2,18,195,2019-11,72.33000000000001
2019-11-20,54,3,54,589,2019-11,142.40000000000003
2019-11-21,0,0,0,0,2019-11,0.0
2019-11-22,0,0,0,0,2019-11,0.0
2019-11-23,0,0,0,0,2019-11,0.0
2019-11-24,0,0,0,0,2019-11,0.0
2019-11-25,0,0,0,0,2019-11,0.0
2019-11-26,0,0,0,0,2019-11,0.0
2019-11-27,4,1,4,39,2019-11,21.240000000000002
2019-11-28,0,0,0,0,2019-11,0.0
2019-11-29,0,0,0,0,2019-11,0.0
2019-11-30,0,0,0,0,2019-11,0.0
