date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue
2019-08-01,0,0,0,0,2019-08,0.0
2019-08-02,0,0,0,0,2019-08,0.0
2019-08-03,0,0,0,0,2019-08,0.0
2019-08-04,0,0,0,0,2019-08,0.0
2019-08-05,0,0,0,0,2019-08,0.0
2019-08-06,0,0,0,0,2019-08,0.0
2019-08-07,0,0,0,0,2019-08,0.0
2019-08-08,0,0,0,0,2019-08,0.0
2019-08-09,0,0,0,0,2019-08,0.0
2019-08-10,0,0,0,0,2019-08,0.0
2019-08-11,0,0,0,0,2019-08,0.0
2019-08-12,41,1,41,511,2019-08,51.559999999999995
2019-08-13,0,0,0,0,2019-08,0.0
2019-08-14,0,0,0,0,2019-08,0.0
2019-08-15,0,0,0,0,2019-08,0.0
2019-08-16,0,0,0,0,2019-08,0.0
2019-08-17,0,0,0,0,2019-08,0.0
2019-08-18,0,0,0,0,2019-08,0.0
2019-08-19,0,0,0,0,2019-08,0.0
2019-08-20,0,0,0,0,2019-08,0.0
2019-08-21,0,0,0,0,2019-08,0.0
2019-08-22,0,0,0,0,2019-08,0.0
2019-08-23,0,0,0,0,2019-08,0.0
2019-08-24,0,0,0,0,2019-08,0.0
2019-08-25,0,0,0,0,2019-08,0.0
2019-08-26,0,0,0,0,2019-08,0.0
2019-08-27,0,0,0,0,2019-08,0.0
2019-08-28,0,0,0,0,2019-08,0.0
2019-08-29,0,0,0,0,2019-08,0.0
2019-08-30,20,1,20,190,2019-08,39.589999999999996
2019-08-31,0,0,0,0,2019-08,0.0
2019-09-01,0,0,0,0,2019-09,0.0
2019-09-02,0,0,0,0,2019-09,0.0
2019-09-03,0,0,0,0,2019-09,0.0
2019-09-04,0,0,0,0,2019-09,0.0
2019-09-05,0,0,0,0,2019-09,0.0
2019-09-06,0,0,0,0,2019-09,0.0
2019-09-07,0,0,0,0,2019-09,0.0
2019-09-08,0,0,0,0,2019-09,0.0
2019-09-09,0,0,0,0,2019-09,0.0
2019-09-10,0,0,0,0,2019-09,0.0
2019-09-11,0,0,0,0,2019-09,0.0
2019-09-12,0,0,0,0,2019-09,0.0
2019-09-13,0,0,0,0,2019-09,0.0
2019-09-14,0,0,0,0,2019-09,0.0
2019-09-15,0,0,0,0,2019-09,0.0
2019-09-16,0,0,0,0,2019-09,0.0
2019-09-17,0,0,0,0,2019-09,0.0
2019-09-18,0,0,0,0,2019-09,0.0
2019-09-19,36,1,36,321,2019-09,92.32000000000001
2019-09-20,0,0,0,0,2019-09,0.0
2019-09-21,0,0,0,0,2019-09,0.0
2019-09-22,18,1,18,160,2019-09,59.85
2019-09-23,0,0,0,0,2019-09,0.0
2019-09-24,0,0,0,0,2019-09,0.0
2019-09-25,0,0,0,0,2019-09,0.0
2019-09-26,0,0,0,0,2019-09,0.0
2019-09-27,0,0,0,0,2019-09,0.0
2019-09-28,0,0,0,0,2019-09,0.0
2019-09-29,0,0,0,0,2019-09,0.0
2019-09-30,0,0,0,0,2019-09,0.0
2019-10-01,0,0,0,0,2019-10,0.0
2019-10-02,0,0,0,0,2019-10,0.0
2019-10-03,223,2,172,941,2019-10,445.97
2019-10-04,0,0,0,0,2019-10,0.0
2019-10-05,0,0,0,0,2019-10,0.0
2019-10-06,0,0,0,0,2019-10,0.0
2019-10-07,0,0,0,0,2019-10,0.0
2019-10-08,55,1,55,478,2019-10,203.54
2019-10-09,0,0,0,0,2019-10,0.0
2019-10-10,61,1,61,584,2019-10,132.0
2019-10-11,34,1,34,189,2019-10,196.51
2019-10-12,0,0,0,0,2019-10,0.0
2019-10-13,0,0,0,0,2019-10,0.0
2019-10-14,29,5,26,274,2019-10,1297.96
2019-10-15,0,0,0,0,2019-10,0.0
2019-10-16,2,1,2,5,2019-10,59.9
2019-10-17,0,0,0,0,2019-10,0.0
2019-10-18,0,0,0,0,2019-10,0.0
2019-10-19,0,0,0,0,2019-10,0.0
2019-10-20,0,0,0,0,2019-10,0.0
2019-10-21,0,0,0,0,2019-10,0.0
2019-10-22,39,1,39,136,2019-10,107.68
2019-10-23,0,0,0,0,2019-10,0.0
2019-10-24,0,0,0,0,2019-10,0.0
2019-10-25,0,0,0,0,2019-10,0.0
2019-10-26,0,0,0,0,2019-10,0.0
2019-10-27,0,0,0,0,2019-10,0.0
2019-10-28,0,0,0,0,2019-10,0.0
2019-10-29,0,0,0,0,2019-10,0.0
2019-10-30,0,0,0,0,2019-10,0.0
2019-10-31,12,1,12,80,2019-10,41.290000000000006
2019-11-01,0,0,0,0,2019-11,0.0
2019-11-02,0,0,0,0,2019-11,0.0
2019-11-03,0,0,0,0,2019-11,0.0
2019-11-04,13,1,13,80,2019-11,64.7
2019-11-05,0,0,0,0,2019-11,0.0
2019-11-06,0,0,0,0,2019-11,0.0
2019-11-07,0,0,0,0,2019-11,0.0
2019-11-08,7,1,7,45,2019-11,14.610000000000001
2019-11-09,0,0,0,0,2019-11,0.0
2019-11-10,0,0,0,0,2019-11,0.0
2019-11-11,22,2,22,213,2019-11,83.02000000000002
2019-11-12,0,0,0,0,2019-11,0.0
2019-11-13,0,0,0,0,2019-11,0.0
2019-11-14,2,1,2,5,2019-11,23.7
2019-11-15,0,0,0,0,2019-11,0.0
2019-11-16,0,0,0,0,2019-11,0.0
2019-11-17,0,0,0,0,2019-11,0.0
2019-11-18,14,1,14,68,2019-11,107.73
2019-11-19,0,0,0,0,2019-11,0.0
2019-11-20,0,0,0,0,2019-11,0.0
2019-11-21,74,2,63,416,2019-11,198.19
2019-11-22,0,0,0,0,2019-11,0.0
2019-11-23,0,0,0,0,2019-11,0.0
2019-11-24,0,0,0,0,2019-11,0.0
2019-11-25,0,0,0,0,2019-11,0.0
2019-11-26,0,0,0,0,2019-11,0.0
2019-11-27,1,1,1,2,2019-11,28.0
2019-11-28,0,0,0,0,2019-11,0.0
2019-11-29,48,1,48,568,2019-11,107.41999999999999
2019-11-30,0,0,0,0,2019-11,0.0
