date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue
2019-08-01,36,2,35,170,2019-08,249.82999999999998
2019-08-02,0,0,0,0,2019-08,0.0
2019-08-03,0,0,0,0,2019-08,0.0
2019-08-04,0,0,0,0,2019-08,0.0
2019-08-05,0,0,0,0,2019-08,0.0
2019-08-06,0,0,0,0,2019-08,0.0
2019-08-07,0,0,0,0,2019-08,0.0
2019-08-08,0,0,0,0,2019-08,0.0
2019-08-09,0,0,0,0,2019-08,0.0
2019-08-10,0,0,0,0,2019-08,0.0
2019-08-11,0,0,0,0,2019-08,0.0
2019-08-12,0,0,0,0,2019-08,0.0
2019-08-13,46,2,46,82,2019-08,129.37
2019-08-14,11,1,11,138,2019-08,44.510000000000005
2019-08-15,0,0,0,0,2019-08,0.0
2019-08-16,0,0,0,0,2019-08,0.0
2019-08-17,0,0,0,0,2019-08,0.0
2019-08-18,4,2,4,7,2019-08,25.599999999999998
2019-08-19,0,0,0,0,2019-08,0.0
2019-08-20,0,0,0,0,2019-08,0.0
2019-08-21,18,1,18,215,2019-08,63.36
2019-08-22,0,0,0,0,2019-08,0.0
2019-08-23,0,0,0,0,2019-08,0.0
2019-08-24,0,0,0,0,2019-08,0.0
2019-08-25,122,1,117,632,2019-08,304.28000000000003
2019-08-26,0,0,0,0,2019-08,0.0
2019-08-27,0,0,0,0,2019-08,0.0
2019-08-28,17,2,16,55,2019-08,84.08
2019-08-29,0,0,0,0,2019-08,0.0
2019-08-30,0,0,0,0,2019-08,0.0
2019-08-31,0,0,0,0,2019-08,0.0
2019-09-01,0,0,0,0,2019-09,0.0
2019-09-02,39,1,39,181,2019-09,252.12999999999994
2019-09-03,0,0,0,0,2019-09,0.0
2019-09-04,0,0,0,0,2019-09,0.0
2019-09-05,23,1,23,166,2019-09,130.0
2019-09-06,0,0,0,0,2019-09,0.0
2019-09-07,0,0,0,0,2019-09,0.0
2019-09-08,0,0,0,0,2019-09,0.0
2019-09-09,0,0,0,0,2019-09,0.0
2019-09-10,0,0,0,0,2019-09,0.0
2019-09-11,0,0,0,0,2019-09,0.0
2019-09-12,0,0,0,0,2019-09,0.0
2019-09-13,0,0,0,0,2019-09,0.0
2019-09-14,0,0,0,0,2019-09,0.0
2019-09-15,0,0,0,0,2019-09,0.0
2019-09-16,36,1,36,409,2019-09,111.60000000000001
2019-09-17,2,1,2,4,2019-09,25.5
2019-09-18,57,1,57,492,2019-09,176.14999999999998
2019-09-19,0,0,0,0,2019-09,0.0
