date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue
2019-08-01,1606,85,841,10580,2019-08,5496.38
2019-08-02,1163,59,730,5928,2019-08,3631.15
2019-08-03,0,0,0,0,2019-08,0.0
2019-08-04,535,32,404,3172,2019-08,1298.4899999999998
2019-08-05,1347,51,781,6748,2019-08,7920.31
2019-08-06,1005,56,622,5615,2019-08,3999.9700000000003
2019-08-07,1273,55,801,6268,2019-08,4821.35
2019-08-08,1771,78,1004,10761,2019-08,13649.679999999998
2019-08-09,924,52,652,4978,2019-08,-7602.189999999997
2019-08-10,0,0,0,0,2019-08,0.0
2019-08-11,553,34,388,2166,2019-08,1679.3
2019-08-12,761,49,544,4853,2019-08,2240.37
2019-08-13,970,58,649,7160,2019-08,2780.79
2019-08-14,1515,56,884,8703,2019-08,7854.879999999999
2019-08-15,1204,92,721,8426,2019-08,3282.59
2019-08-16,593,50,435,4707,2019-08,1558.3400000000001
2019-08-17,0,0,0,0,2019-08,0.0
2019-08-18,998,35,631,4401,2019-08,3010.7
2019-08-19,1160,62,693,8499,2019-08,3156.8900000000003
2019-08-20,1150,55,702,6951,2019-08,3030.38
2019-08-21,1745,91,936,10212,2019-08,18001.82
2019-08-22,1122,82,716,7386,2019-08,4779.459999999999
2019-08-23,716,46,496,5729,2019-08,1894.98
2019-08-24,0,0,0,0,2019-08,0.0
2019-08-25,1078,38,664,4366,2019-08,2535.15
2019-08-26,0,0,0,0,2019-08,0.0
2019-08-27,3202,45,1303,8388,2019-08,15480.07
2019-08-28,1091,105,751,4963,2019-08,5190.6
2019-08-29,1320,73,746,9887,2019-08,3245.65
2019-08-30,2150,94,1084,8323,2019-08,10167.61
2019-08-31,0,0,0,0,2019-08,0.0
2019-09-01,1154,46,738,5941,2019-09,3179.96
2019-09-02,1412,66,814,8728,2019-09,3819.9
2019-09-03,1021,63,659,7092,2019-09,2942.81
2019-09-04,1789,53,1007,7403,2019-09,9115.75
2019-09-05,1472,79,851,7361,2019-09,4502.68
2019-09-06,1327,77,822,7499,2019-09,4958.61
2019-09-07,0,0,0,0,2019-09,0.0
2019-09-08,1930,74,987,11138,2019-09,5537.1900000000005
2019-09-09,1702,96,916,11077,2019-09,5365.92
2019-09-10,2351,77,1085,13184,2019-09,8493.34
2019-09-11,1244,86,801,6756,2019-09,3866.6899999999996
2019-09-12,2099,106,1001,12592,2019-09,24974.110000000004
2019-09-13,1398,77,797,9476,2019-09,6959.720000000001
2019-09-14,0,0,0,0,2019-09,0.0
2019-09-15,1274,28,830,5728,2019-09,3659.5200000000004
2019-09-16,996,80,633,6768,2019-09,2695.88
2019-09-17,1544,68,842,9155,2019-09,6500.87
2019-09-18,2881,92,1299,11395,2019-09,13403.09
2019-09-19,2423,130,1138,16195,2019-09,7079.06
2019-09-20,2268,88,1169,11340,2019-09,8423.150000000001
2019-09-21,0,0,0,0,2019-09,0.0
2019-09-22,1893,72,942,11667,2019-09,5219.241
2019-09-23,1441,73,872,8866,2019-09,5599.711
2019-09-24,1821,107,1002,11040,2019-09,6573.450000000001
2019-09-25,2528,94,1204,12230,2019-09,7829.33
2019-09-26,2352,107,1117,16168,2019-09,6699.429999999999
2019-09-27,1743,84,941,10329,2019-09,6476.79
2019-09-28,0,0,0,0,2019-09,0.0
2019-09-29,1429,36,863,5354,2019-09,3742.43
2019-09-30,2215,88,1084,12386,2019-09,12472.78
2019-10-01,2723,93,1179,13540,2019-10,9879.14
2019-10-02,1931,89,984,11666,2019-10,5760.150000000001
2019-10-03,2681,197,1223,15269,2019-10,8451.85
2019-10-04,2167,95,1012,11808,2019-10,12425.409999999998
2019-10-05,0,0,0,0,2019-10,0.0
2019-10-06,1292,41,811,5026,2019-10,3418.62
2019-10-07,2988,128,1281,13683,2019-10,13815.2
2019-10-08,1925,93,1039,11079,2019-10,6548.08
2019-10-09,1749,85,981,9549,2019-10,5859.31
2019-10-10,1924,94,1060,9245,2019-10,6923.150000000001
2019-10-11,1581,73,932,9408,2019-10,4985.55
2019-10-12,0,0,0,0,2019-10,0.0
2019-10-13,1254,39,800,6051,2019-10,4307.24
2019-10-14,2502,87,1234,11719,2019-10,10254.33
2019-10-15,2577,97,1171,13453,2019-10,8142.91
2019-10-16,2050,93,1117,10363,2019-10,7511.26
2019-10-17,1914,95,994,10899,2019-10,5998.48
2019-10-18,1250,58,746,8764,2019-10,3583.96
2019-10-19,0,0,0,0,2019-10,0.0
2019-10-20,1726,44,969,6008,2019-10,4737.49
2019-10-21,2905,134,1345,12523,2019-10,16714.2
2019-10-22,2310,107,1104,13655,2019-10,6862.94
2019-10-23,1808,98,1012,9239,2019-10,6694.460000000001
2019-10-24,2320,119,1097,13483,2019-10,7378.969999999999
2019-10-25,1388,89,791,7716,2019-10,5012.98
2019-10-26,0,0,0,0,2019-10,0.0
2019-10-27,2705,91,1148,12739,2019-10,6795.110000000001
2019-10-28,3207,98,1584,13392,2019-10,26498.21
2019-10-29,1618,98,866,8650,2019-10,4593.75
2019-10-30,2478,105,1219,12258,2019-10,8872.599999999999
2019-10-31,2247,113,1178,12289,2019-10,7278.529999999999
2019-11-01,2747,128,1219,15826,2019-11,7635.630000000001
2019-11-02,0,0,0,0,2019-11,0.0
2019-11-03,3148,96,1223,13965,2019-11,8445.43
2019-11-04,1960,103,1025,10848,2019-11,21986.29
2019-11-05,3926,131,1472,17411,2019-11,16312.880000000001
2019-11-06,2633,121,1231,15789,2019-11,8496.29
2019-11-07,2928,162,1252,17285,2019-11,10281.16
2019-11-08,3675,98,1485,16053,2019-11,12734.0
2019-11-09,0,0,0,0,2019-11,0.0
2019-11-10,2831,87,1221,12971,2019-11,8542.990000000002
2019-11-11,3377,135,1404,16564,2019-11,13759.940000000002
2019-11-12,3248,130,1460,14330,2019-11,12458.14
2019-11-13,3957,143,1516,17941,2019-11,15905.34
2019-11-14,3053,142,1349,15227,2019-11,9560.92
2019-11-15,2539,142,1185,12822,2019-11,10676.2
2019-11-16,0,0,0,0,2019-11,0.0
2019-11-17,3179,96,1260,12940,2019-11,9807.77
2019-11-18,2710,112,1210,13664,2019-11,8206.810000000001
2019-11-19,3702,158,1490,16887,2019-11,12002.9
2019-11-20,3432,136,1392,18316,2019-11,15911.36
2019-11-21,3354,128,1445,14577,2019-11,12055.3
2019-11-22,2997,91,1358,11407,2019-11,13976.81
2019-11-23,0,0,0,0,2019-11,0.0
2019-11-24,2521,59,1120,8807,2019-11,6409.139999999999
2019-11-25,3114,115,1398,14991,2019-11,13084.029999999999
2019-11-26,4166,140,1542,16840,2019-11,18226.61
2019-11-27,3100,144,1341,14336,2019-11,14420.159999999998
2019-11-28,2776,158,1246,14607,2019-11,9712.41
2019-11-29,2690,128,1277,13440,2019-11,9738.8
2019-11-30,0,0,0,0,2019-11,0.0
